Country,Estimated road traffic death rate (per 100 000 population),Four-Wheelers,Two-Wheelers,Cyclists,Pedestrians,Others
Afghanistan,15.5,0,0,0,0,0
Albania,15.1,50.8,13.2,4.1,31.2,0.7
Algeria,23.8,0,0,0,0,0
Andorra,7.6,0,50,0,50,0
Angola,26.9,0,1.9,0,35.4,62.7
Antigua and Barbuda,6.7,66.7,0,16.7,16.7,0
Argentina,13.6,88,0,2,10.1,0
Armenia,18.3,54.7,0,0.3,35.8,9.2
Australia,5.4,64.2,17.9,4.2,13.2,0.6
Austria,5.4,42.4,21.5,11.2,18,5.9
Azerbaijan,10,62.1,0.5,0.3,30.5,6.7
Bahamas,13.8,57.7,17.3,3.8,21.2,0
Bahrain,8,59.3,3.5,5.8,31.4,0
Bangladesh,13.6,41.5,10.8,1.8,32.2,13.7
Barbados,6.7,33.3,16.7,11.1,38.9,0
Belarus,13.7,49.2,0,7.9,41.6,1.2
Belgium,6.7,51.9,15.9,10.1,13.7,8.4
Belize,24.4,46.6,21.9,17.8,9.6,4.1
Benin,27.7,15.5,55.8,2.3,21.1,5.3
Bhutan,15.1,94.9,1.7,0,3.4,0
Bolivia (Plurinational State of),23.2,56.1,9.9,0.9,32.5,0.6
Bosnia and Herzegovina,17.7,52.6,9.1,11,27.3,0
Botswana,23.6,67.6,0,0,27.3,5.1
Brazil,23.4,23.5,28,3.3,19.7,25.5
Brunei Darussalam,8,0,0,0,0,0
Bulgaria,8.3,62.9,8.7,5.2,18.1,5.2
Burkina Faso,30,0,0,0,0,0
Burundi,31.3,0,0,0,0,0
Cabo Verde,26.1,0,0,0,0,0
Cambodia,17.4,8.5,70.4,2.3,12.7,6.1
Cameroon,27.6,0,0,0,0,0
Canada,6,66.6,8.4,2.5,15.7,6.7
Central African Republic,32.4,0,0,0,0,0
Chad,24.1,0,0,0,0,0
Chile,12.4,36.1,7,7.6,38.9,10.4
China,18.8,19.2,26.8,8.1,26.1,19.8
Colombia,16.8,7.6,44.3,5,29.3,13.8
Comoros,28,0,0,0,0,0
Congo,26.4,0,0,0,0,0
Cook Islands,24.2,40,60,0,0,0
Costa Rica,13.9,27.8,28.3,9.3,32.1,2.5
CÃÂ´te d'Ivoire,24.2,22,22,2,35,19
Croatia,9.2,54.3,17.1,6.3,18.8,3.5
Cuba,7.5,21.2,12.4,12.7,38.6,15
Cyprus,5.2,38.6,34.1,4.5,18.2,4.5
Czechia,6.1,47.1,11,11.3,24.8,5.8
Democratic People's Republic of Korea,20.8,0,0,0,0,0
Democratic Republic of the Congo,33.2,70.9,14.9,0,4.9,9.1
Denmark,3.5,50.3,13.6,17.3,17.8,1
Djibouti,24.7,0,0,0,0,0
Dominica,15.3,63.6,0,18.2,18.2,0
Dominican Republic,29.3,12.9,63.2,0.5,19.7,3.6
Ecuador,20.1,2.2,6.9,0.5,30,60.3
Egypt,12.8,48.6,0.6,6.3,29.2,15.3
El Salvador,21.1,11.6,11,4.6,58.9,13.9
Equatorial Guinea,22.9,0,0,0,0,0
Eritrea,24.1,25.7,0,7.4,39.9,27
Estonia,7,50.6,6.2,11.1,28.4,3.7
Eswatini,24.2,62.4,2,2,33.5,0
Ethiopia,25.3,0,0,0,0,0
Fiji,5.8,39,0,2.4,58.5,0
Finland,4.8,62.4,11.2,7.8,13.2,5.4
France,5.1,49.3,24.2,4.5,14.2,7.8
Gabon,22.9,0,0,0,0,0
Gambia,29.4,0,0,0,0,0
Georgia,11.8,44.7,3.1,0.6,24.3,27.2
Germany,4.3,47.6,19.2,10.6,16.7,6
Ghana,26.2,24.2,14,3.7,41.5,16.7
Greece,9.1,43.9,32.5,2.1,17.2,4.3
Grenada,5.7,0,0,0,0,0
Guatemala,19,0,25.1,0,50.9,24
Guinea,27.3,0,0,0,0,0
Guinea-Bissau,27.5,0,0,0,0,0
Guyana,17.3,25,18.8,11.6,34.8,9.8
Haiti,15.1,0,0,0,0,0
Honduras,17.4,30.8,8.1,4.9,46.7,10.3
Hungary,7.7,43,13.9,11.5,24.9,6.8
Iceland,4.6,80,6.7,0,6.7,6.7
India,16.6,17.2,33.9,3.5,9.1,36.2
Indonesia,15.3,6,36,2,21,35
Iran (Islamic Republic of),32.1,41.3,21.5,0.7,23.2,13.4
Iraq,20.2,0,0,0,0,0
Ireland,4.1,65.4,13.8,2.7,16.5,1.6
Israel,3.6,41.2,14.1,4.7,32.9,7.2
Italy,6.1,45.4,25.5,7.4,16.2,5.5
Jamaica,11.5,31.9,20.8,8.5,29,9.8
Japan,4.7,32.4,17.4,13.7,36.2,0.3
Jordan,26.3,64.3,0,0,35.7,0
Kazakhstan,24.2,60.5,2.3,1.1,22.5,13.5
Kenya,29.1,34.3,4.9,14.4,46.4,0
Kiribati,2.9,0,0,33.3,66.7,0
Kuwait,18.7,0,0,0,0,0
Kyrgyzstan,22,67.3,0,1.1,31.6,0.1
Lao People's Democratic Republic,14.3,18.7,66.9,2.7,9.6,2.1
Latvia,10,42,7.4,7.4,39.8,3.4
Lebanon,22.6,0,0,0,43.3,56.7
Lesotho,28.2,56.9,1.2,0.6,30.3,11
Liberia,33.7,0,0,0,0,0
Libya,23.8,70.8,1.5,1.3,26.4,0
Lithuania,10.6,43,7.4,7,37.5,4.7
Luxembourg,8.7,66.7,17.8,0,11.1,4.4
Madagascar,28.4,0,0,0,0,0
Malawi,35,32.5,1.3,17.2,49.1,0
Malaysia,24,23.7,62.1,2.2,6.6,5.5
Maldives,3.5,16.7,16.7,16.7,33.3,16.7
Mali,25.6,18.7,20.4,0,27.4,33.5
Malta,5.1,44.4,27.8,0,27.8,0
Marshall Islands,5.7,33.3,66.7,0,0,0
Mauritania,24.5,0,0,0,0,0
Mauritius,12.2,22.8,30.9,9.6,34.6,2.2
Mexico,12.3,18.3,6,1.5,30.3,44
Micronesia (Federated States of),1.9,0,0,0,0,0
Monaco,0,0,0,0,0,0
Mongolia,21,47,19.3,0.2,30.6,2.9
Montenegro,11.9,44.6,9.5,1.4,20.3,24.3
Morocco,20.8,35.9,21.2,5.9,26.2,10.9
Mozambique,31.6,0,0,0,0,0
Myanmar,20.3,26,23,9,26,16
Namibia,23.9,61.7,0.6,0.6,32.1,4.9
Nepal,17,0,0,0,0,0
Netherlands,3.4,36.5,13.5,32.3,9.8,7.9
New Zealand,6,65.7,15.4,3.1,11.8,3.9
Nicaragua,15.3,23.2,26,5.5,32.8,12.5
Niger,26.4,67,0,0,33,0
Nigeria,20.5,0,0,0,0,0
Norway,3.8,61,12.8,5.3,9.6,11.2
Oman,25.4,64.3,2.3,2.6,23.2,7.6
Pakistan,14.2,0,0,0,0,0
Palau,4.8,0,0,0,100,0
Panama,10,58.3,0,0,40.9,0.8
Papua New Guinea,16.8,48.4,0,0,29,22.6
Paraguay,20.7,23.4,54.1,0.7,20.7,1.1
Peru,13.9,6.9,1,0.3,23.3,68.4
Philippines,10.5,25.3,52.5,2,19,1.1
Poland,10.3,43.1,9.4,9.1,34,4.4
Portugal,7.8,44.3,20.4,4.6,22.6,8.2
Qatar,15.2,71.6,0,0,28.4,0
Republic of Korea,12,33.2,16.3,5.5,38.9,6.1
Republic of Moldova,12.5,41.1,11.9,6,32.8,8.3
Romania,8.7,44,4.7,8.5,39,3.8
Russian Federation,18.9,57.3,4.3,1.7,28.9,7.8
Rwanda,32.1,0,0,0,0,0
Saint Lucia,18.1,57.1,0,0,42.9,0
Saint Vincent and the Grenadines,8.2,0,0,0,0,0
Samoa,15.8,0,0,0,76.5,23.5
San Marino,3.2,0,100,0,0,0
Sao Tome and Principe,31.1,25,32.1,0,42.9,0
Saudi Arabia,27.4,0,0,0,0,0
Senegal,27.2,0,0,0,0,0
Serbia,7.7,46.2,8.6,9.1,26.9,9.2
Seychelles,8.6,25,0,0,75,0
Sierra Leone,27.3,0,0,0,0,0
Singapore,3.6,17.5,45.6,9.4,26.9,0.6
Slovakia,6.6,45.8,8.4,6.8,30.3,8.8
Slovenia,6.4,45.6,16.8,12.8,16,8.8
Solomon Islands,19.2,0,0,0,0,0
Somalia,25.4,0,0,0,0,0
South Africa,25.1,66.6,0,0,33.4,0
South Sudan,27.9,0,0,0,0,0
Spain,3.7,46.7,21.1,4.1,22.5,5.6
Sri Lanka,17.4,5.7,40.8,11,29.8,12.7
Sudan,24.3,0,0,0,33.4,66.6
Suriname,19.1,35.5,42.1,3.9,18.4,0
Sweden,2.8,57.3,16.5,5.4,16.2,4.6
Switzerland,3.3,38.3,20.4,6.3,25.7,9.3
Syrian Arab Republic,20,0,0,0,0,0
Tajikistan,18.8,62.5,0,4.2,33.3,0
Thailand,36.2,13,72.8,2.3,8.1,3.8
The former Yugoslav republic of Macedonia,9.4,49,10.6,5.6,22.7,12.1
Timor-Leste,16.6,0,0,0,0,0
Togo,31.1,0,0,0,0,0
Tonga,7.6,62.5,0,0,37.5,0
Trinidad and Tobago,14.1,64.2,2.6,2,31.1,0
Tunisia,24.4,48.6,20.5,2.5,28.2,0
Turkey,8.9,25,4.3,0.9,26.2,43.6
Turkmenistan,17.4,74.7,0,1.9,23.4,0
Uganda,27.4,7.2,30.6,7.6,40.2,14.5
Ukraine,10.6,0,0,0,0,0
United Arab Emirates,10.9,57.3,2.6,0.3,26.1,13.7
United Kingdom of Great Britain and Northern Ireland,2.9,46.3,19.3,6.4,22.9,5.2
United Republic of Tanzania,32.9,35,21.7,11.2,31.2,0.9
United States of America,10.6,64.4,14.8,2.2,14.1,4.5
Uruguay,16.6,25.9,52.9,2.8,15.7,2.6
Uzbekistan,11.2,0,0,0,0,0
Vanuatu,16.6,44.4,0,0,55.6,0
Venezuela (Bolivarian Republic of),45.1,0,0,0,0,0
Viet Nam,24.5,0,0,0,0,0
Yemen,21.5,0,0,0,0,0
Zambia,24.7,48.4,2.2,11.6,36.4,0
Zimbabwe,28.2,20.5,6.2,3.6,16.5,53.3
